,wikidataID,attractionName,attractionDescription,country,coordinates,type,namedAfter,locatedIn,height
0,http://www.wikidata.org/entity/Q76635833,Museum Burg Brome,Museum in Deutschland,Deutschland,,Museum,,,
1,http://www.wikidata.org/entity/Q76635836,Niedersächsisches Kleinbahn-Museum,Museum in Deutschland,Deutschland,,Museum,,,
2,http://www.wikidata.org/entity/Q76635838,Buchholzer Heimatmuseum und Sniers Hus,Heimatmuseum in Niedersachsen,Deutschland,Point(9.87635 53.300169),Museum,,Buchholz in der Nordheide,
3,http://www.wikidata.org/entity/Q76635841,Museum Bückerburg für Stadtgeschichte und Schaumburg-lippische Landesgeschichte,Museum in Deutschland,Deutschland,Point(9.048315 52.260335),Museum,,,
4,http://www.wikidata.org/entity/Q76635842,Schloß Bückeburg,Museum in Deutschland,Deutschland,,Museum,,,
5,http://www.wikidata.org/entity/Q76635845,Heimatmuseum Büddenstedt,Museum in Deutschland,Deutschland,,Museum,,,
6,http://www.wikidata.org/entity/Q76635847,Dollartmuseum,Museum in Deutschland,Deutschland,Point(7.262633 53.183706),Museum,,,
7,http://www.wikidata.org/entity/Q76635852,Nationalpark-Haus Museum,Museum in Fedderwardersiel in Niedersachsen,Deutschland,Point(8.355491 53.596814),Museum,,Butjadingen,
8,http://www.wikidata.org/entity/Q76635854,Celler Schützenmuseum,Museum in Deutschland,Deutschland,Point(10.086497 52.623958),Museum,,,
9,http://www.wikidata.org/entity/Q76635857,Das Deutsche Stickmuster-Museum,Museum in Deutschland,Deutschland,,Museum,,,
10,http://www.wikidata.org/entity/Q76635860,Marienwerder-Zimmer,Museum in Deutschland,Deutschland,Point(10.07922 52.619765),Museum,,,
11,http://www.wikidata.org/entity/Q76635861,Museum der Justizvollzugsanstalt,Museum in Deutschland,Deutschland,Point(10.066236 52.622883),Museum,,,
12,http://www.wikidata.org/entity/Q76635863,Sammlung des Niedersächsischen Landesinstituts für Bienenkunde,Museum in Deutschland,Deutschland,Point(10.084852 52.621948),Museum,,,
13,http://www.wikidata.org/entity/Q76635867,Geosammlung der Technischen Universität Clausthal,Museum in Deutschland,Deutschland,,Museum,,,
14,http://www.wikidata.org/entity/Q76635868,Historische Sammlung Instrumentelle Analytik der TU Clausthal,Museum in Deutschland,Deutschland,Point(10.338906 51.806563),Museum,,,
15,http://www.wikidata.org/entity/Q76635870,Fleckenmuseum Das Blaue Haus in Clenze,Museum in Deutschland,Deutschland,,Museum,,,
16,http://www.wikidata.org/entity/Q76635872,Museum in der Burg Coppenbrügge,Museum in Deutschland,Deutschland,,Museum,,,
17,http://www.wikidata.org/entity/Q76635874,Feuerwehrmuseum Hordorf,Museum in Deutschland,Deutschland,Point(10.655203 52.291464),Museum,,Cremlingen,
18,http://www.wikidata.org/entity/Q76635876,Heimatstube Schandelah,Museum in Deutschland,Deutschland,,Museum,,,
19,http://www.wikidata.org/entity/Q76635879,Kirchboden-Museum Weddel,Museum in Deutschland,Deutschland,,Museum,,,
20,http://www.wikidata.org/entity/Q76635880,Museum für Wegwerfkultur,Museum in Deutschland,Deutschland,Point(10.62187 52.272243),Museum,,Cremlingen,
21,http://www.wikidata.org/entity/Q76635882,Museumsschiff Feuerschiff Elbe 1,Museum in Deutschland,Deutschland,,Museum,,,
22,http://www.wikidata.org/entity/Q76635885,Schloß Ritzebüttel,Museum in Deutschland,Deutschland,Point(8.700059 53.857481),Museum,,,
23,http://www.wikidata.org/entity/Q76635887,Schneidemühler Heimatstuben,Heimatmuseum in Cuxhaven,Deutschland,Point(8.696165 53.86286),Museum,,Cuxhaven,
24,http://www.wikidata.org/entity/Q76635890,Heimatmuseum Dahlenburg,Museum in Deutschland,Deutschland,Point(10.736941 53.188412),Museum,,,
25,http://www.wikidata.org/entity/Q76635892,Stadtmuseum Damme,Museum in Deutschland,Deutschland,,Museum,,,
26,http://www.wikidata.org/entity/Q76635895,Historisches Feuerwehrmuseum Lüchow-Dannenberg e.V.,Museum in Deutschland,Deutschland,,Museum,,,
27,http://www.wikidata.org/entity/Q76635897,Museum im Waldemarturm,Museum in Deutschland,Deutschland,Point(11.097702 53.099426),Museum,,,
28,http://www.wikidata.org/entity/Q76635899,Wilhelm-Busch-Zimmer,Museum in Deutschland,Deutschland,Point(9.723976 51.843807),Museum,,,
29,http://www.wikidata.org/entity/Q76635901,Deutsches Feld- und Kleinbahnmuseum e.V.,Museum in Deutschland,Deutschland,Point(9.444273 53.53296),Museum,,Landkreis Stade,
30,http://www.wikidata.org/entity/Q76635903,Museumsmühle Hasbergen,Museum in Deutschland,Deutschland,Point(8.657448 53.075495),Museum,,,
