,wikidataID,attractionName
0,http://www.wikidata.org/entity/Q32776,Igualada Leather Museum
1,http://www.wikidata.org/entity/Q451,Mundaneum
2,http://www.wikidata.org/entity/Q40680,Aquarium-Muséum
3,http://www.wikidata.org/entity/Q46012,Haus der Europäischen Geschichte
4,http://www.wikidata.org/entity/Q94564,Musées d’Extrême-Orient de Bruxelles
5,http://www.wikidata.org/entity/Q136893,Burg Turku
6,http://www.wikidata.org/entity/Q31808,Nordsee-Ozeanarium
7,http://www.wikidata.org/entity/Q7341,KZ Auschwitz
8,http://www.wikidata.org/entity/Q114597,Alter Jüdischer Friedhof
9,http://www.wikidata.org/entity/Q136946,Museum der Stadt Breslau
10,http://www.wikidata.org/entity/Q5556,Musei civici di Treviso
11,http://www.wikidata.org/entity/Q19833,Villa della Regina
12,http://www.wikidata.org/entity/Q19834,Schloss Stupinigi
13,http://www.wikidata.org/entity/Q51166,Museo civico Luigi Bailo
14,http://www.wikidata.org/entity/Q51175,Santa Maria Novella
15,http://www.wikidata.org/entity/Q51177,Santa Croce
16,http://www.wikidata.org/entity/Q51252,Uffizien
17,http://www.wikidata.org/entity/Q72786,Belvedere
18,http://www.wikidata.org/entity/Q112485,Castel Savoia
19,http://www.wikidata.org/entity/Q114878,Museo dell'Olivo e dell'Olio
20,http://www.wikidata.org/entity/Q117939,Art Stations of the Naples Metro
21,http://www.wikidata.org/entity/Q132009,MuseumPasseier
22,http://www.wikidata.org/entity/Q133982,The Florence Museum of Botanical Natural Science
23,http://www.wikidata.org/entity/Q162965,Palazzo Doria Tursi
24,http://www.wikidata.org/entity/Q23270,Tropfsteinhöhle Alland
25,http://www.wikidata.org/entity/Q27342,Hangar-7
26,http://www.wikidata.org/entity/Q46242,Hofburg
27,http://www.wikidata.org/entity/Q113528,Österreichischer Skulpturenpark
28,http://www.wikidata.org/entity/Q115619,Villa Wertheimstein
29,http://www.wikidata.org/entity/Q136333,ZOOM Kindermuseum
30,http://www.wikidata.org/entity/Q143767,Zahnmuseum Linz
31,http://www.wikidata.org/entity/Q162946,1. Kärntner Fischereimuseum
32,http://www.wikidata.org/entity/Q23212,Evoluon
33,http://www.wikidata.org/entity/Q93466,Corpus
34,http://www.wikidata.org/entity/Q141355,Museum Hindeloopen
35,http://www.wikidata.org/entity/Q153193,Thermenmuseum
36,http://www.wikidata.org/entity/Q2946,Schloss Versailles
37,http://www.wikidata.org/entity/Q8323,Museum für Druckkunst
38,http://www.wikidata.org/entity/Q8397,Musées Gadagne
39,http://www.wikidata.org/entity/Q9485,Manécanterie
40,http://www.wikidata.org/entity/Q28924,Katakomben von Paris
41,http://www.wikidata.org/entity/Q75566,Musée des Beaux-Arts d'Arras
42,http://www.wikidata.org/entity/Q42049,Balmoral Castle
43,http://www.wikidata.org/entity/Q62378,Tower of London
44,http://www.wikidata.org/entity/Q74136,Blaenavon Ironworks
45,http://www.wikidata.org/entity/Q82108,Sarehole Mill
46,http://www.wikidata.org/entity/Q950,Museum Schnütgen
47,http://www.wikidata.org/entity/Q22600,Museum SchPIRA
48,http://www.wikidata.org/entity/Q22616,Feuerbachhaus
49,http://www.wikidata.org/entity/Q22625,Deutsches Schuhmuseum Hauenstein
50,http://www.wikidata.org/entity/Q22838,Purrmann-Haus
51,http://www.wikidata.org/entity/Q55396,Deutsches Sport & Olympia Museum
52,http://www.wikidata.org/entity/Q56007,Baracke Wilhelmine
53,http://www.wikidata.org/entity/Q126971,Altonaer Museum
54,http://www.wikidata.org/entity/Q131631,Schloss Nymphenburg
55,http://www.wikidata.org/entity/Q151195,NS-Ordensburg Vogelsang
56,http://www.wikidata.org/entity/Q151456,Bilderbuchmuseum
57,http://www.wikidata.org/entity/Q151545,Wartburg
58,http://www.wikidata.org/entity/Q152966,Deutsches Jagd- und Fischereimuseum
59,http://www.wikidata.org/entity/Q156316,Würzburger Residenz
60,http://www.wikidata.org/entity/Q156803,Schloss Moritzburg
61,http://www.wikidata.org/entity/Q157298,Pergamonmuseum
62,http://www.wikidata.org/entity/Q157316,Neues Museum
63,http://www.wikidata.org/entity/Q159556,Sammlung Philippi
64,http://www.wikidata.org/entity/Q160385,Haus Schminke
65,http://www.wikidata.org/entity/Q161768,1. Berliner DDR-Motorradmuseum
66,http://www.wikidata.org/entity/Q162016,1. Deutsches Bratwurstmuseum
67,http://www.wikidata.org/entity/Q162017,1. Deutsches Motorrollermuseum
68,http://www.wikidata.org/entity/Q163291,Kultur- und Militärmuseum Grafenwöhr
69,http://www.wikidata.org/entity/Q43282,Alexander-Newski-Kathedrale
70,http://www.wikidata.org/entity/Q59893,Festung Baba Wida
71,http://www.wikidata.org/entity/Q162198,Neandertalermuseum in Krapina
72,http://www.wikidata.org/entity/Q261012,Guinness Storehouse
73,http://www.wikidata.org/entity/Q179199,Guggenheim-Museum Bilbao
74,http://www.wikidata.org/entity/Q256777,Fundación NMAC
75,http://www.wikidata.org/entity/Q284916,Gabinet de les Arts Gràfiques
76,http://www.wikidata.org/entity/Q203864,Zimmerturm
77,http://www.wikidata.org/entity/Q240807,Jerusalemkirche
78,http://www.wikidata.org/entity/Q256200,musée Charlier
79,http://www.wikidata.org/entity/Q287806,château de Gaasbeek
80,http://www.wikidata.org/entity/Q251272,Olavinlinna
81,http://www.wikidata.org/entity/Q208559,Schloss Drottningholm
82,http://www.wikidata.org/entity/Q253430,Schloss Tyresö
83,http://www.wikidata.org/entity/Q270849,Åhus Museum
84,http://www.wikidata.org/entity/Q189358,Schloss Kronborg
85,http://www.wikidata.org/entity/Q205631,Kroppedal
86,http://www.wikidata.org/entity/Q206101,Schloss Rosenborg
87,http://www.wikidata.org/entity/Q226103,Schloss Frederiksborg
88,http://www.wikidata.org/entity/Q178533,Muzeum Ziemi Szprotawskiej
89,http://www.wikidata.org/entity/Q252800,Äbtepalast zu Oliva
90,http://www.wikidata.org/entity/Q191739,Kathedrale von Florenz
91,http://www.wikidata.org/entity/Q201902,Mole Antonelliana
92,http://www.wikidata.org/entity/Q163867,Museum Tiroler Bauernhöfe
93,http://www.wikidata.org/entity/Q177125,Burg Clam
94,http://www.wikidata.org/entity/Q186039,Zeitgeschichte Museum Ebensee
95,http://www.wikidata.org/entity/Q196954,Zeughaus
96,http://www.wikidata.org/entity/Q201001,Flavia Solva
97,http://www.wikidata.org/entity/Q203116,Schloss Pöggstall
98,http://www.wikidata.org/entity/Q203797,Schloss Eggenberg
99,http://www.wikidata.org/entity/Q204129,Hermesvilla
